Website,Country,Studio,Publisher,PC,Mobile,VR,VR only,Console,Browser games,Launched products,Revenue,Selling from a website,Distribution platform,Payment gateway or service (for direct selling websites),Project scale assessment,Simplified classification of studios,Publisher + producing its games,Custom games + studio’s own games,Making the first game,Possibly out of business
croteam.com/,Croatia,Croteam,Devolver Digital,X,?,X,?,?,?,13,?,?,X,?,9,A,?,?,?,?
crownadam.com/apps_games_de.html,Switzerland,Crown Adam,?,X,X,?,?,?,?,4,?,O,X,bigfishgames.com/,1,C,?,?,?,?
crowscrowscrows.com/,Germany,Crows Crows Crows,?,X,X,X,?,X,?,7,?,?,X,?,5,B,?,?,?,?
crunchyleafgames.com/,Germany,Crunchy Leaf Games,?,X,?,?,?,?,?,3,?,X,X,humblebundle.com/,2,C,?,?,?,?
crystalshard.net/,Netherlands,Crystal Shard Games,?,X,?,?,?,?,?,18,?,?,X,?,3,C,?,?,?,?
crytek.com/,Germany,Crytek,?,X,?,?,?,X,?,11,?,X,X,Unknown,12,A,?,?,?,?
cult.software/,Latvia,Cult Software,?,X,?,?,?,?,?,5,?,?,X,?,3,C,?,?,?,?
cyanide-studio.com/home,France,Cyanide Studio,?,X,?,?,?,X,?,41,?,?,X,?,10,A,?,?,?,?
cybercoconut.com/,Italy,Cyber Coconut,?,X,X,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
cyberless.cf/?i=1,Turkey,Team Cyberless,?,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,X,?
cybernautica.cz/,Czech Republic,Cybernautica,?,?,X,?,?,?,?,7,?,?,-,?,-,-,?,?,?,?
cyberneticwalrus.com/,Belgium,Cybernetic Walrus,Iceberg Interactive,X,?,?,?,X,?,1,?,?,X,?,4,B,?,?,?,?
cybernetikdesign.com/,Spain,Cybernetik Design,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
cybertime-games.ru/,Russia,Cybertime Games,?,X,?,?,?,?,?,3,?,?,X,?,4,B,?,?,?,?
cyclonestudios.co.uk/,Norway,CycloneStudios,?,X,?,?,?,?,?,1,?,?,X,?,1,C,?,?,?,?
cypest.net/,Germany,Gravitation Art,?,X,?,?,?,?,?,1,?,?,X,?,1,C,?,?,?,?
cypronia.com/,Slovenia,Cypronia,?,X,X,?,?,X,?,59,?,?,X,?,6,B,?,?,?,?
czechgames.com/,Czech Republic,CGE Digital,?,X,?,?,?,?,?,2,?,?,X,?,2,C,?,?,?,?
daedalic.com/,Germany,Daedalic Entertainment,Daedalic Entertainment,X,X,?,?,X,?,21,?,?,X,?,10,A,X,?,?,?
dailymagic.info/,Russia,Daily Magic Productions,?,X,X,?,?,?,?,27,?,O,X,bigfishgames.com/,3,C,?,?,?,?
dali.games/,Poland,Dali Games,?,X,X,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
dampgnat.com/,UK,Damp Gnat,?,X,X,?,?,?,?,2,?,?,X,?,2,C,?,?,?,?
dansmithstudios.com/,UK,Dan Smith Studios,Ripstone,X,?,?,?,X,?,2,?,?,X,?,4,B,?,?,?,?
darewise.com/,France,Darewise Entertainment,?,X,?,?,?,?,?,1,?,X,X,xsolla.com/,8,A,?,?,X,?
dark-1.com/,Macedonia,Dark-1,?,X,?,?,?,?,?,4,?,X,X,stripe.com/,2,C,?,?,?,?
darkcrystalgames.com/,Russia,Dark Crystal Games,Black Tower Entertainment,X,?,?,?,?,?,1,?,?,X,?,8,A,?,?,?,?
